,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
0,OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,126990,191668,33,4.8,9,1,"[""Intel Core Ultra 7 Processor"", ""16 GB LPDDR5X RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 inch) Display"", ""Microsoft Office Home & Student 2021"", ""1 Year Onsite Warranty""]",Laptop,HP
1,OMEN AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,125990,192386,34,4.8,9,1,"[""Intel Core Ultra 7 Processor"", ""16 GB LPDDR5X RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 Inch) Display"", ""Microsoft Office Home & Student 2021"", ""1 Year Onsite Warranty""]",Laptop,HP
2,Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,11990,28690,58,3.8,1185,98,"[""MediaTek Kompanio 520 Processor"", ""4 GB LPDDR4X RAM"", ""Chrome Operating System"", ""35.56 cm (14 Inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Lenovo
3,Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,53990,82789,34,4.5,5022,441,"[""Intel Core i5 Processor (13th Gen)"", ""16 GB LPDDR4X RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories""]",Laptop,SAMSUNG
4,Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,15990,30790,48,3.8,1185,98,"[""MediaTek Kompanio 520 Processor"", ""8 GB LPDDR4X RAM"", ""Chrome Operating System"", ""35.56 cm (14 inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Lenovo
5,AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU Thin and Light Laptop,56831,44990,46,3.8,12,0,"[""AMD Ryzen 5 Quad Core Processor"", ""16 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
6,Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,57499,37241,70,4.5,2362,308,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB LPDDR4X RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,SAMSUNG
7,Y3 Max Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) YL613 Thin and ...,23990,54900,37,4.3,413,73,"[""Intel Core i3 Processor (12th Gen)"", ""8 GB LPDDR4X RAM"", ""Windows 11 Operating System"", ""256 GB SSD"", ""40.64 cm (16 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,Infinix
8,Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,10990,54552,24,3.3,887,71,"[""MediaTek MT8183 Processor"", ""4 GB LPDDR4X RAM"", ""Chrome Operating System"", ""29.46 cm (11.6 Inch) Touchscreen Display"", ""1 Year Carry-in Warranty""]",Laptop,HP
9,250R G9 Intel Core i3 13th Gen i3-1315U up to 4.5 GHz with Intel Turbo Boost - (16 GB/512 GB SSD/Wi...,34299,123652,21,4.1,12,3,"[""Intel Core i3 Processor (13th Gen)"", ""16 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 YEAR BRAND WARRANTY""]",Laptop,HP
10,AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,40990,50990,41,4.2,8072,589,"[""AMD Ryzen 5 Hexa Core Processor"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart"", ""1 Year Onsite Warranty""]",Laptop,HP
11,Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,96990,54990,40,4.5,209,26,"[""AMD Ryzen 7 Octa Core Processor"", ""16 GB DDR5 RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""40.89 cm (16.1 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
12,Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,29990,68000,32,4.2,4611,448,"[""AMD Ryzen 3 Quad Core Processor"", ""8 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
13,Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,32990,69990,38,4.3,11610,913,"[""Intel Core i3 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
14,Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,45990,50843,17,4.3,363,23,"[""Intel Core i7 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 Inch) Display"", ""1 Year Domestic Warranty""]",Laptop,Acer
15,Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,42990,77566,14,4.2,7225,400,"[""Intel Core i5 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
